Record,DenID,Spring_year,Data_source,Discovery_method,Latitude,Longitude,Confirmation,Substrate,Position_method,Horizontal_error_m
388,994,2011,USGS,CONVENTIONAL,70.1952,-146.0769,P,L,field gps,30
389,997,2011,USGS,CONVENTIONAL,70.0168,-143.2331,P,L,field gps,30
390,998,2011,USGS,SATELLITE,69.6106,-138.9423,P,L,Argos LC=3,400
391,999,2011,USGS,CONVENTIONAL,70.3172,-148.0031,P,L,field gps,30
392,1000,2011,USGS,SATELLITE,69.8278,162.8392,C,L,Argos LC=A,4800
400,1009,2011,USGS,SATELLITE,70.1762,-145.9619,P,L,Argos LC=3,400
459,1076,2011,USGS,SATELLITE,83.155,-151.485,P,P,Argos LC=2,1000
482,1100,2011,USFWS,SATELLITE,70.999,179.86,P,L,satellite gps,30
483,1101,2011,USFWS,SATELLITE,70.895,178.898,P,L,satellite gps,30
509,1127,2011,USFWS-ADFG,REPORT,70.5569,-149.9125,C,L,field gps,30
510,1128,2011,USFWS-ADFG,CONVENTIONAL,70.5554,-149.5754,C,L,field gps,30
511,1129,2011,USFWS-ADFG,FLIR,70.4876,-149.2457,C,L,field gps,30
512,1130,2011,USFWS-ADFG,CONVENTIONAL,70.3129,-147.985,P,L,field gps,30
513,1131,2011,USFWS-ADFG,CONVENTIONAL,70.3127,-147.9847,C,L,field gps,30
514,1132,2011,USFWS-ADFG,CONVENTIONAL,70.3137,-147.9628,C,L,field gps,30
