Record,DenID,Spring_year,Data_source,Discovery_method,Latitude,Longitude,Confirmation,Substrate,Position_method,Horizontal_error_m
407,1016,2015,USGS,SATELLITE,71.0695,-155.0944,P,L,satellite gps,30
408,1017,2015,USGS,SATELLITE,73.3796,-133.8879,P,P,satellite gps,30
409,1018,2015,USGS,SATELLITE,74.0305,-134.4404,P,P,satellite gps,30
410,1019,2015,USGS,SATELLITE,70.1907,-147.3257,C,L,satellite gps,30
522,1140,2015,USFWS-ADFG,FLIR,70.4432,-150.0603,P,L,field gps,30
523,1141,2015,USFWS-ADFG,FLIR,70.4679,-149.985,P,L,field gps,30
524,1142,2015,USFWS-ADFG,FLIR,70.4886,-149.2437,P,L,field gps,30
525,1143,2015,USFWS-ADFG,FLIR,70.498,-149.0942,P,L,field gps,30
526,1144,2015,USFWS-ADFG,REPORT,70.2896,-148.5135,P,L,field gps,30
527,1145,2015,USFWS-ADFG,FLIR,70.3139,-147.9858,P,L,field gps,30
