Record,DenID,Spring_year,Data_source,Discovery_method,Latitude,Longitude,Confirmation,Substrate,Position_method,Horizontal_error_m
384,990,2010,USGS,SATELLITE,69.3637,-143.3672,C,L,Argos LC=3,400
385,991,2010,USGS,SATELLITE,70.8224,-153.9907,C,L,Argos LC=3,400
386,992,2010,USGS,SATELLITE,70.1321,-145.9387,C,L,Argos LC=3,400
387,993,2010,USGS,SATELLITE,70.1787,-145.9717,P,L,Argos LC=3,400
461,1078,2010,USGS,SATELLITE,69.579,-139.242,P,F,Argos LC=2,1000
464,1082,2010,USGS,SATELLITE,71.837,-140.973,C,P,Argos LC=A,4800
466,1084,2010,USGS,SATELLITE,72.2395,-125.6794,P,L,Argos LC=3,400
477,1095,2010,USFWS,SATELLITE,69.234,-164.258,P,F,satellite gps,30
478,1096,2010,USFWS,SATELLITE,80.908,-177.777,P,P,satellite gps,30
479,1097,2010,USFWS,SATELLITE,71.3581,-175.5787,P,L,satellite gps,30
480,1098,2010,USFWS,SATELLITE,71.194,-178.067,P,U,Argos LC=3,400
481,1099,2010,USFWS,SATELLITE,71.32,-179.286,P,L,Argos LC=3,400
502,1120,2010,USFWS-ADFG,FLIR,70.4882,-149.245,C,L,field gps,30
503,1121,2010,USFWS-ADFG,CONVENTIONAL,70.5001,-149.0951,C,L,field gps,30
504,1122,2010,USFWS-ADFG,CONVENTIONAL,70.3129,-147.9694,C,L,field gps,30
505,1123,2010,USFWS-ADFG,CONVENTIONAL,70.313,-147.9693,P,L,field gps,30
506,1124,2010,USFWS-ADFG,CONVENTIONAL,70.2697,-147.825,C,L,field gps,30
507,1125,2010,USFWS-ADFG,FLIR,70.2897,-147.799,C,L,field gps,30
508,1126,2010,USFWS-ADFG,REPORT,70.1745,-146.681,C,L,field gps,30
